Title,Company,Location,Description,Category,Job Link,Job Position id,Date Posted,Job Extract Date
QA Engineer II,"Matrix Precise, Inc.","Oakland, CA 94612","About Matrix Precise:
Matrix Precise Inc. is a Technology Development, Consulting and R&D Company. We provide solutions in the areas of facial recognition, smart retail, handwriting recognition and smart robots. Our client services also entail a range of development and support solutions from web and mobile application development, infrastructure and production support and testing services. We offer very competitive compensation and benefits packages including health insurance and 401K.
Position Overview:
We are looking for a Quality Assurance Engineer to ensure that the solution delivered has the highest level of quality possible. You will be primarily responsible for the creation of technical documentation including test cases, product validation plans, as necessary. Someone who will be responsible for discovery, management, and closure of issues discovered during the testing process. Experience in both automation as well as functional testing.
This individual must possess excellent analytic and problem-solving skills and have the tenacity to discover the hard-to-find defects and manage them until closure. You will be required to collaborate and communicate effectively in a team environment, as well as work and think independently.
Responsibilities:
Create technical documentation including validation plan, test scripts, test cases and product validation plans
Work with Product Owners, Technical Architects/developers to test the solution(s) ensure optimal code coverage.
Ensure that validation plans test all the requirements (Functional and Non- Functional)
Execute test cases for integration, performance and stress testing and system upgrades
Validate the solutions prior to deployment and after deployments
Triage issues and help to determine root cause of the issues.
Work with test data and perform data analysis
*
Qualifications: *
BA/BS degree in Computer Science or related fields
8-12 years as a QA Engineer Analyst in a mid-large size enterprise/corporation.
Experience with Test Strategy, Test plan and test case creation, execution in agile environment
Hands-on automation solution development using Selenium, LoadRunner, Puppeteer or similar solutions.
Excellent written and verbal communication skills to document test plans, scripts and test cases, support knowledge base updated
3+ years working with Agile, Scrum processes and experience in documenting use cases and test cases
Experience with incident management and tools like Service Now, JIRA, GIT
Excellent analytical skills to ensure root causes are identified for issues.
Ensure requirements traceability is maintained in the validation test scripts and results
Proficiency in SQL to access relational DB
Experience with test data prep for SQL/ NoSQL databases
QA of “responsive” web apps.
Validation of APIs. Tools like Postman etc. for API validations.
Applications and solutions performance validations.
*
Preferred Qualifications: *
Skills with scripting languages, HTML, website development and collaboration tools such as Teams, Slack, SharePoint etc. are nice to have.
Programming/scripting skills in any scripting tools (Python, Javascript etc).
Expertise in testing a CI/CD Microservices-based environment is a plus
Mobile (IOS/Android) app validation and QA experience is a plus.
WYRJIWqR62
Job Type: Full-time",Full-time,https://www.indeed.com/viewjob?jk=2cc0bc9d047b6cc1,,Today,2021-08-18
Sr. Quality Analyst - Telecommute,UnitedHealth Group,"Hartford, CT 06102 (Downtown area)•Remote","UnitedHealthcare is a company that's on the rise. We're expanding in multiple directions, across borders and, most of all, in the way we think. Here, innovation isn't about another gadget, it's about transforming the health care industry. Ready to make a difference? Make yourself at home with us and start doing your life's best work.(sm)
You’ll enjoy the flexibility to telecommute* from anywhere within the U.S. as you take on some tough challenges.
Primary Responsibilities:
Take ownership and responsibility for the design and development of all aspects of manual and automated test approach and strategy
Author and execute the Test Suite of manual and automated test scenarios with traceability to requirements in order to validate the application
Collaborate with business team members to review and clarify requirements and acceptance criteria for all functional and non-functional testing needs
Assist business users in defining User Acceptance Testing, test cases and plans
Define, establish, document, and train the QA best practices, with concentration on automation strategy and approach
Identify, document, and track issues found during testing
Work with business partners, Business Analysts, Stepwise Developers, and Vendor programmers to analyze, triage and resolve issues
Communicate and interact with appropriate areas on problems, changes and enhancements that may impact data, workflow and /or functionality within Information Technology software
Advocate for the needs of QA to all levels
Participate in production implementation verification and being accountable for validating system quality
Secondary Responsibilities:
Perform as Back-up and overflow support to the Sr. Configuration Consultant (25 - 50% of your time), including the following responsibilities:
Development and Configuration support within the Stepwise Application. This would include development of user interfaces and workflow automation, creating and maintaining Stored Procedures, and updating complex rating formulas
Proactively partner and consult with business resources to design and develop innovative solutions for difficult business problems
Cross functional requirements gathering, system consultation, and implementation of system design and configuration
Analyze advantages and limitations of multiple solutions options. Recommend and develop preferred option. Communicate options to non-technical audiences
Work with multiple project deadlines with minimal supervision
Present material to peers and clients
You’ll be rewarded and recognized for your performance in an environment that will challenge you and give you clear direction on what it takes to succeed in your role as well as provide development for other roles you may be interested in.
Required Qualifications:
5+ years of experience creating and executing detailed test cases with a demonstrated understanding of QA processes in a Software Development Lifecycle, with 5+ years of experience on web-based applications
5+ years of experience defining and developing an automated test framework, process, and test suite. Experience should include development of functions beyond record and playback
5+ years of experience using Selenium Web driver and Java
2+ years of experience building or maintaining complex Excel models, including VBA
1+ years of experience with SQL
1+ years of experience with GIT or similar source control systems
Preferred Qualifications:
Bachelor’s Degree in Mathematics, Computer Science, technical area, or the equivalent combination of education and experience
2+ years of Team Leadership experience
1+ years of experience with performance/load testing
Expertise in rating systems is highly desirable - as a consultant, super user, or technical design/implementation subject matter expert
Hands-on professional experience in using Excel and SQL-based systems to solve business problems/achieve clients' expectations
Experience in an Underwriting and/or Actuarial role
Experience working in the Insurance Industry, preferably Health Care
Experience with user interface design and/or workflow design automation
Experience in creating frameworks such as BDD/cucumber
Knowledge/experience with XML
Careers at UnitedHealthcare Employer & Individual. We all want to make a difference with the work we do. Sometimes we're presented with an opportunity to make a difference on a scale we couldn't imagine. Here, you get that opportunity every day. As a member of one of our elite teams, you'll provide the ideas and solutions that help nearly 25 million customers live healthier lives. You'll help write the next chapter in the history of health care. And you'll find a wealth of open doors and career paths that will take you as far as you want to go. Go further. This is your life's best work.(sm)
*All Telecommuters will be required to adhere to UnitedHealth Group’s Telecommuter Policy.
Colorado Residents Only: The salary range for Colorado residents is $79,700 to $142,600. Pay is based on several factors including but not limited to education, work experience, certifications, etc. In addition to your salary, UnitedHealth Group offers benefits such as, a comprehensive benefits package, incentive and recognition programs, equity stock purchase and 401k contribution (all benefits are subject to eligibility requirements). No matter where or when you begin a career with UnitedHealth Group, you’ll find a far-reaching choice of benefits and incentives
Diversity creates a healthier atmosphere: UnitedHealth Group is an Equal Employment Opportunity/Affirmative Action employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information, or any other characteristic protected by law.
UnitedHealth Group is a drug - free workplace. Candidates are required to pass a drug test before beginning employment.
Job Keywords: Sr. Quality Analyst, Telecommute, Remote, Work from Home",Full-time,https://www.indeed.com/rc/clk?jk=f07bf65e60e43120&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXgkVUzZ8A1GQVL18ky5xmjVwsdLqiuaGy5Gw05HfKNzLw&astse=1bb3d257b79c06bd&assa=1045&vjfrom=vjs,,1 day ago,2021-08-18
Software Engineer - Automation Testing,Wells Fargo,"Chandler, AZ 85286+3 locations","Job Description

Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as “Personal Cell” or “Cellular” in the contact information of your application.
At Wells Fargo, we are looking for talented people who will put our customers at the center of everything we do. We are seeking candidates who embrace diversity, equity and inclusion in a workplace where everyone feels valued and inspired.
Help us build a better Wells Fargo. It all begins with outstanding talent. It all begins with you.
Technology sets IT strategy; enhances the design, development, and operations of our systems; optimizes the Wells Fargo infrastructure; provides information security; and enables Wells Fargo global customers to have 24 hours a day, 7 days a week banking access through in-branch, online, ATMs, and other channels.
Our mission is to deliver stable, secure, scalable, and innovative services at speeds that delight and satisfy our customers and unleash the skills potential of our employees.
The candidate will be responsible for helping support and build Retail Lending Java middle-ware applications for multiple lines of business, including Credit Card. Support Continuous Integration and Continuous Development in an Agile environment. Will be responsible for independently developing new automation scripts and on-going maintenance, and advise on the sizing efforts of automation development for new projects. Provides guidance, and leads the efforts of the the less experienced automation Engineers. Must be able to work with little direction. Assures quality, security and compliance requirements are met for supported technology domain. Possess strong analytical and organizational skills. Responsible for primary development of testing strategies. Performs more complex analysis of business requirements and systems specifications.
Other duties may include, unit testing, manual testing,writing SQL queries, database testing, develop test strategy, test plans and manual test scripts, and monitor/track to resolution application defects. Utilize technical and functional knowledge of application to provide assistance in identifying, evaluating, and resolving moderately complex test problems in a multi operating system and network environment.
Responsibilities:
Develop, execute, and maintain automation suite of scripts Lead automation efforts.
Develop detailed manual test scripts to validate application functional requirements
Design and write formal test plans to address system, integration, and data conversion testing Partner with Business and development partners on test approach and validation strategies Identify and document defects in a defect tracking system and manage through resolution
Ensure software requirements are verifiable and quantifiable with the ability to build test cases
Contribute to efficient and effective program and system solutions in solving medium to complex test or business problems
Active participation in Agile team ceremonies
Cross train with other Agile team members in automation and development skills

Required Qualifications

5+ years of software engineering experience
5+ years of testing or quality assurance experience
1+ year of Agile experience
3+ years of experience using HP ALM or other testing tools
3 + years of experience designing and implementing solutions for test automation using Selenium and Java
2+ years of RESTful or SOAP web services

Desired Qualifications

An industry-standard technology certification
Strong verbal, written, and interpersonal communication skills
Knowledge of widely successful Agile techniques: User Stories, ATDD, TDD, Continuous Integration, Continuous Testing, Pairing, Automated Testing, Agile Games
Experience with automation, regression, and performance testing
Knowledge and understanding of application testing methodologies, tools, and execution
2+ years of JIRA experience
Knowledge and understanding of banking or financial services industry

Other Desired Qualifications
Consumer Lending Technology Experience
Agile Certification


Job Expectations

Ability to work additional hours as needed

Street Address

AZ-Chandler: 2600 S Price Rd - Chandler, AZ
TX-Irving: 6051/6061 N State Hwy 161 - Irving, TX",,https://www.indeed.com/rc/clk?jk=259c3e7c96d956e1&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXiYtPTs0wmJOazhCE4Ky96v2Lr7DfU83qy6ilMSvPFMEw&astse=2bde3cbbfb50c9f8&assa=1562&vjfrom=vjs,"Important Note: During the application process, ensure your contact information (email and phone number) is up to date and upload your current resume when submitting your application for consideration. To participate in some selection activities you will need to respond to an invitation. The invitation can be sent by both email and text message. In order to receive text message invitations, your profile must include a mobile phone number designated as “Personal Cell” or “Cellular” in the contact information of your application.",1 day ago,2021-08-18
Senior QA Lead,Bhuvi IT Solutions,"Las Vegas, NV•Remote","Job description
We are hiring QA Lead Engineer with working experience on .NET for the full-time remote USA position
About the company:
Bhuvi IT Solutions is a global company focused on Information Technology and Business Process Services, we are providing client services, recruitment, organize career development programs, and also sponsor a work visa for the right candidates.
EXPERIENCE, KNOWLEDGE
Lead QA Engineer - Automation
Seeking a Quality Assurance engineer with experience testing web-based applications in a .NET environment. This is a long-term contract opportunity located in the Raleigh / Durham area.
Summary
The successful candidate will be responsible for creating use cases, developing, and maintaining test specifications, test cases, test scripts and test data. They will implement test practices, standards, and processes. Will also establish fact-based measures of test efficiency, effectiveness, and product readiness.
Responsibilities
Ensuring software quality assurance on highly complex and / or multiple projects, including manual test case execution, defect tracking, test plan / test case creation and management, and requirements analysis
Estimating, coordinating, and directing testing for multiple products / projects.
Troubleshoot test issues, record test results, track and prioritize defects.
Participate in product readiness and release decisions.
Required Skills
5-10 years of experience as a QA engineer - Automation
Experience working with .NET components and utilities. Experience testing web-based applications build in the .Net Framework.
Expertise in developing automation frameworks (ie Selenium, Appium, UFT, Test Studio)
Experience testing web-based applications, performance testing, processing batch jobs and working with production development environments.
Software development experience as a Client / Server Application Developer or Web Application
Job Types: Full-time, Contract
Benefits:
401(k)
Health insurance
Life insurance
Schedule:
Day shift
On call
Ability to commute/relocate:
Las Vegas, NV: Reliably commute or planning to relocate before starting work (Preferred)
Education:
Bachelor's (Preferred)
Experience:
QA automation: 8 years (Required)
.NET: 4 years (Required)
Work Remotely:
Yes
Speak with the employer
+91 +18473739649",Full-time,https://www.indeed.com/viewjob?jk=0b226a0627d78207,,1 day ago,2021-08-18
Sr. SW QA Engineer REQ,ICE Mortgage Technology,"Pleasanton, CA","ICE Mortgage Technology is the leading cloud-based platform provider for the mortgage finance industry. ICE Mortgage Technology solutions enable lenders to originate more loans, reduce origination costs, and reduce the time to close, all while ensuring the highest levels of compliance, quality and efficiency. Visit ‪IceMortgageTechnology to learn more.

IMT is a provider of enterprise on-demand solutions, including an online network, software and services for the residential mortgage industry. We are leading the mortgage industry into the future, developing and marketing software solutions that are transforming how mortgage lenders, investors, and settlement service providers work—and work together. We are expanding our QA teams and seeking to hire new software engineers to participate in testing our product and release high quality enterprise products.
Primary Responsibilities & Objectives
Be an active participant in planning and designing product features with the ability to view the product from a customer perspective.
Collaborate with cross functional teams involved in product delivery.
Develop, update, maintain and execute automated tests.
Develop test plan, review with stake holders, keep confluence, JIRA updated to reflect appropriate status.
Review and triage test failures and verify fixes.
Enhance and extend test automation libraries and frameworks. Create new test frameworks as and when needed.
Build testing tools, mock services
Manage multiple competing priorities in a fast-paced Agile environment.
Participate in on-call rotations, driving bug isolation and helping restore the service.
Work with minimum of technical supervision
Stay current with the latest engineering technologies and best practices
Provide periodic updates to the management at sprint level
Qualifications, Skills and Education
BS/MS in Computer Science or equivalent domain
10+ years of experience in Software Quality Engineering
Excellent analytical skills
Ability to analyze requirements, develop a test plan/strategy, create and execute test cases, track defects and report results.
Strong knowledge of object-oriented programming language like Java.
Expert in test automation using Java, testNg, maven. The ideal candidate can create new frameworks for new problems without any guidance.
Experience in testing and delivering enterprise products on cloud
Exposure to testing backend server side features as well as UI features.
Hands on experience with AWS technologies
Strong skills in relational and non-relational databases: PostgreSQL/MSSQL, MongoDB or similar
Good working knowledge of API testing techniques and tools: Postman, REST-Assured
Self-motivated, able to learn and research independently
Ability to innovate and simplify
Relentlessly high standards
Experience in debugging and resolving SOA(Service Oriented Architecture) based products on cloud.
#LI-BR1

ICE Mortgage Technology is an equal opportunity and affirmative action employer. Women, minorities, people with disabilities, and veterans are encouraged to apply.

We do not accept resumes from headhunters, placement agencies, or other suppliers that have not signed a formal agreement with us.",Full-time,https://www.indeed.com/rc/clk?jk=51785c1c07628885&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXjvmx_ZvUXsj69Ez9-M5IFIpsjbKTpre7P5gvPU7rdPPQ&astse=1b46a4082eaf1796&assa=2309&vjfrom=vjs,,Today,2021-08-18
SDET,SIS,"Sunnyvale, CA","Type: W2 Description:
SDET Engineer
W2 Candidates Only!!!
Local candidates Only!!!
Location: Sunnyvale CA & Austin TX
We are seeking an experienced Software Development engineer in Test to help pioneer the creation of large scale automation solutions. Primary responsibilities include developing tools, updating frameworks, executing and maintaining automation scripts, working with QA Leads to support projects, and interfacing with development teams. Hands-on experience with Content management, Digital asset management systems and scalable dynamic rendering engines is a great plus. You will be collaborating with a group of hard-working engineers to deliver test automation solutions
Requirements:
Solid understanding of Quality Assurance principals and methodologies
5+ years of hands-on software development using Java Programming, mobile automation experience using Appium, Node.js, Mocha, Jest, Selenium Web Driver and related technologies
Proven track record of building automation frameworks for different levels of testing: unit, integration, end-to-end
Advanced understanding of modern front-end frameworks such as Vue.js, React, Angular
Strong understanding of CMS, Databases, Web Services, XML, HTML, CSS, and DOM elements
Experience building automation for dynamic data-driven applications
Experience with GitLab and continuous integration build system such as Jenkins
Ability to analyze complex enterprise systems and multi tier applications
Deal well with ambiguous/undefined problems
Showing creativity and initiative to improve product test coverage and effectiveness
Good attitude towards collaboration and problem solving
Knowledge of industry standard test automation tools
Exceptional written and verbal communication skills
Key Responsibilities:
Design and develop automation projects including, initial concept, design requirements, system architecture and test plans
Work closely with the development team on the design and implementation of new features and libraries for automation frameworks
Developing test automation for web and mobile applications (iOS and Android)
Build test automation infrastructure and test libraries to automate testing end-to-end from deployment, test execution, and reporting test results
Identify, design, and implement improvements to current architecture. This may include internal process improvements, automating manual processes, optimizing data delivery, reducing cost, re-designing infrastructure for greater reliability, etc.
Build self-service tools, APIs, and scripts for continuous end-to-end test automation which will be used across multiple teams
Drive increased test automation coverage and reporting in all areas
Collaborate with the teams to identify efficiencies and process improvements at all levels and automate routine tasks
Maintaining the current automation framework and automated test case repositories
Location Sunnyvale , CA Min Experience (yrs): Required Education: Not Specified Benefits:",,https://www.indeed.com/rc/clk?jk=814f1df804ce16f0&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXh7NxNsRt2Iwimoe77seAKFwsdLqiuaGy5Gw05HfKNzLw&astse=b48a3a67c686a03e&assa=2681&vjfrom=vjs,SDET Engineer,Today,2021-08-18
Quality Engineer (Open to Remote),Modern Campus,Remote,"We are looking for a highly motivated and ambitious Quality Engineer to provide testing, bug verification, internal documentation, and other QA assistance to the Engineering team. The Quality Engineer will be expected to have to have working knowledge of C#, JavaScript, Angular, Python and SQL.
To be successful in this role, you must be passionate about delivering cutting-edge web applications that are intuitive and drive efficiency into the Student Engagement, Success, and Workforce Readiness vertical.
What you’ll do:
Participate in defining and planning new site features in our current web stack (C#, .NET, JavaScript, Angular, SQL, NoSQL), ranging from discussing wireframes to identifying test cases and validation scenarios critical to successful go-live.
Writing automated tests, compiling sequence test results and working iteratively with Development team to rectify issues identified by sequence testing.
Collaborating on feature/process/performance improvement opportunities
What you’ll need:
2+ years of professional experience in quality assurance
Developing inspection methods to analyze product quality
Improving product quality by making recommendations for change
Working with development teams and relevant departments to improve
products
Ensuring products adhere to company and industry quality standards
Brainstorming ideas to create solutions for identified problems
Documenting results and findings after inspections are carried out and a firm grasp on implementing a working system to ensure conformity and accuracy in the production process
Bonus Skills:
Azure DevOps
Selenium
PowerShell
Data Driven and Behavior Driven Frameworks
Modular Testing
What you’ll have:
Outstanding communication. You will split your time between heads-down coding and team collaboration and innovation. We support each other out loud, working out solutions.
Pride. You enjoy your work and getting a job done well. You want to be part of a team that promotes their accomplishments and sees the difference they make.
Ownership. You can be counted on to deliver the best solution in collaboration with your team. You take ownership for your work, your tasks, your timelines.
Drive. You want to be challenged and you are constantly seeking new opportunities to learn, gain and apply new skills and knowledge.
What you’ll gain:
Competitive compensation and benefits
Rewards and recognition programs
Learning and development opportunities
Unlimited Vacation Policy
An environment in which you can thrive as an individual and a member of a diverse team
Agency in your work to shape outcomes that you can proudly own.
Preferred locations (remote candidates welcome):
St. Petersburg, FL
Toronto, ON
Lakeland, FL
Camarillo, CA
Company Overview:
Modern Campus, the innovator driving Omni CMS and Destiny One, empowers higher education institutions to thrive when radical change is required to successfully respond to lower student enrollments and revenue, rising costs, crushing student debt and even school closures. Powered by the industry’s only “student first” modern learner engagement platform, presidents and provosts can create pathways for lifelong learning, while marketing and IT leaders can deliver Amazon-like personalization and instant fulfillment. Award-winning products and an exceptional customer experience for its 550+ higher education customers, with more than 70 million students engaged with its platform, have earned Modern Campus a reputation for customer obsession.
Learn how Modern Campus is leading the modern learner engagement movement at www.moderncampus.com
qA6ERHRSkS",Full-time,https://www.indeed.com/viewjob?jk=0cefcfb740fe52ab,"We are looking for a highly motivated and ambitious Quality Engineer to provide testing, bug verification, internal documentation, and other QA assistance to the Engineering team. The Quality Engineer will be expected to have to have working knowledge of C#, JavaScript, Angular, Python and SQL.",Just posted,2021-08-18
Sr. Test Analyst,Cognizant Technology Solutions,"Allentown, PA 18101•Remote","Cognizant has immediate opening for Sr. Test Analyst. If you meet our background requirements and skills and looking for an opportunity to be rewarded for your skills and expertise, is the ideal opportunity for you!

Sr. Test Analyst- Full Time

Location and Travel: Allentown, PA or REMOTE

Test Strategy formulation, Test Design Setup, Automated Test Execution, Result capture and reporting.
Test failure RCA and resolution.
Improvement and extension of test automation framework.
Selenium (with DOTNET or C#), winium Jar to test .net U/I applications.
Also UFT (back up solution)Work with business to gather /Document requirements
Overall accountable for the quality component of the project, is empowered to address concerns to the PM and/or tech lead as well as recommend changes that may be necessary to deliver a quality product
Applies and communicates a testing strategy that brings together the best fits in practices, platforms and tools (Selenium, etc.) agreed upon by tech and project lead
Responsible for setting up DEVOPS (or comparable system) for testing and defect management and providing reporting to project team

Employee Status : Full Time Employee
Shift : Day Job
Travel : No
Job Posting : Aug 17 2021

About Cognizant Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 185 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant.

Applicants may be required to attend interviews in person or by video conference. In addition, candidates may be required to present their current state or government issued ID during each interview.
Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law.
If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.",Full-time,https://www.indeed.com/rc/clk?jk=5a08f928537d18c6&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhok31_kDt0IveY3XW4VDNR-BhdrQogdzP3xc9-PmOQTQ&astse=730fd83eac68fb52&assa=3477&vjfrom=vjs,,Today,2021-08-18
SDET-Automation tester,Aditya Birla Group,"West Palm Beach, FL+1 location•Remote","Hi,
Hope everything is going well at your end.
SDET-Automation tester
location Irvine, CA
Duration 6+ months contract
Must have skill
7+ years of experience
C# and Selenium Automation (C# experience must)
Test Automation - Spec flow, Selenium
Thank you & Best Regards,
Chintan Bane
Job Type: Full-time
Salary: From $46.00 per hour
Schedule:
Monday to Friday
Work Remotely:
Yes",Full-time,https://www.indeed.com/viewjob?jk=4f8650a38229fd4e,,1 day ago,2021-08-18
Associate Software Engineer In Test,Veson Nautical,"Boston, MA 02110 (Central area)+1 location","As a Veson Nautical Associate Software Engineer in Test you will help ensure product quality and customer satisfaction for the world’s leading developer of commercial maritime software. In this role you will be empowered to create, execute and maintain robust automated tests and solve a broad spectrum of challenging issues around designing, creating, and scaling large, automated test suites. Veson Nautical uses Python, JavaScript, Selenium, C# and PowerShell to write tools and tests but QA team members are encouraged to explore and implement the best approaches and tools for the job. Bring your enthusiasm, curiosity, energy, and drive to help deliver software at the highest level of quality.

As a Veson Nautical Associate Software Engineer in Test you will help ensure product quality and customer satisfaction for the SAS software that makes Veson the platform that propels maritime commerce.

Responsibilities
Development and execution of end to end workflow, integration and unit tests
Development and execution of load, scalability, and performance tests
Development of testing tools, frameworks and pipelines used for day to day release hardening and dev testing
Debug complex scenarios in a web-based product to resolve flaky tests and uncover intermittent bugs
Design and develop test cases based on customer workflows and use cases
Work closely with the Product and Engineering teams to give feedback on test cases, automation failures, and feature designs
Work closely with the Engineering and DevOps teams to define, develop, and maintain a wide range of automated tests
Notify team members of quality issues and help lead the effort to identify areas for improvement of overall system quality

Qualifications
2+ years of software engineering/testing experience in an agile testing role
Excellent verbal and written communication skills
Experience with a variety of testing tools and scripting languages: selenium, chromedriver, Python, JavaScript, PowerShell, CLI tools, etc.
Experience with a CI build system such as Jenkins or TeamCity
Familiarity with SQL and version control systems
Familiarity with the writing and implementation of unit tests in JavaScript, C++, or C# are a plus
Willingness to conduct ad-hoc exploratory testing with limited documentation
Working knowledge of software application design, development and testing
Desire to work in a fast-paced, entrepreneurial setting
Proactive, positive approach to quality assurance work and problem-solving
Self-directed in execution of work
Ability to readily adapt to changing systems, requirements, and business needs
Bachelor’s degree in Computer Science or related field
About Veson Nautical
We are a team of multi-cultural, multi-disciplined professionals that are dedicated to making our clients successful and charting a new, innovative course for the commercial marine industry. Veson Nautical employs a staff of extremely capable creators and innovators all focused on meeting the goals of our clients. We invest extensively in employee development and experience to maintain focus and enthusiasm. The Veson Nautical team is made up of a dynamic blend of engineers, artists, sailors, teachers, brokers, bankers, traders, consultants, and customer service experts.

Veson Nautical is a successful, rapidly growing global software company. Our clients are the world’s leading commercial maritime owners, operators and commodity trading companies. Veson’s solutions enable our clients to identify new opportunities and proactively manage their business to make more profitable decisions. With offices in Singapore, Tokyo, London, Houston and headquarters in Boston, USA, Veson Nautical is a dynamic organization with a committed team of professionals. Dedicated to ensuring the highest levels of client satisfaction, Veson Nautical brings decades of experience, technical knowledge, enthusiasm and commitment to clients around the world. The combination of exceptional market growth and leading market position make this a superb opportunity for the right candidate.

Veson Nautical Offers
Competitive compensation
Four weeks’ vacation to start plus 10 holidays
Generous health, dental, life, and disability insurance
Flexible Spending Plan + $250 employer contribution
401K + 4% employer match
Transportation subsidy
Friendly, informal work environment
New Office in Boston’s Seaport District",Full-time,https://www.indeed.com/rc/clk?jk=5ee599b226b13e71&from=vj&pos=bottom&mvj=0&jobsearchTk=1fddtfluio2b9800&sjdu=YmZE5d5THV8u75cuc0H6Y26AwfY51UOGmh3Z9h4OvXhtMHfRasmJpvCS9bcYrZLL2Lr7DfU83qy6ilMSvPFMEw&astse=1a3dbd4772a99c46&assa=4215&vjfrom=vjs,"As a Veson Nautical Associate Software Engineer in Test you will help ensure product quality and customer satisfaction for the world’s leading developer of commercial maritime software. In this role you will be empowered to create, execute and maintain robust automated tests and solve a broad spectrum of challenging issues around designing, creating, and scaling large, automated test suites. Veson Nautical uses Python, JavaScript, Selenium, C# and PowerShell to write tools and tests but QA team members are encouraged to explore and implement the best approaches and tools for the job. Bring your enthusiasm, curiosity, energy, and drive to help deliver software at the highest level of quality.",Today,2021-08-18
